1,a-345,d,100
2,a-345,c,100
3,a-345,c,200
4,a-345,c,300
5,a-345,d,400
6,a-123,d,100
7,a-234,d,100
8,a-345,d,100
9,a-234,c,200
10,a-123,d,500
11,a-456,d,100
12,a-123,c,200
13,a-234,d,500
14,a-234,c,300
15,a-123,d,100
16,a-234,c,500
17,a-456,c,100
18,a-456,c,100
19,a-234,c,300
20,a-345,c,300
21,a-345,c,200
22,a-123,d,100
23,a-123,c,300
24,a-456,c,100
25,a-345,d,100
26,a-345,c,200
27,a-456,c,500
28,a-123,d,500
29,a-234,c,300
30,a-456,d,300
31,a-456,c,100
32,a-456,d,300
33,a-123,d,200
34,a-345,c,100
35,a-345,c,500
36,a-234,c,300
37,a-456,c,400
38,a-234,d,200
39,a-234,c,100
40,a-234,c,200
41,a-456,d,400
42,a-345,c,500
43,a-345,d,200
44,a-456,d,400
45,a-345,d,400
46,a-456,c,400
47,a-345,c,200
48,a-234,d,200
49,a-234,c,300
50,a-345,d,400
51,a-234,c,300
52,a-345,c,100
53,a-345,d,500
54,a-345,d,100
55,a-345,c,500
56,a-456,c,400
57,a-345,d,400
58,a-123,c,200
59,a-345,c,200
60,a-345,c,400
61,a-456,d,200
62,a-234,d,300
63,a-123,c,100
64,a-345,c,500
65,a-456,c,100
66,a-234,d,200
67,a-456,c,300
68,a-345,c,500
69,a-456,d,100
70,a-123,c,500
71,a-123,d,100
72,a-456,d,200
73,a-234,c,200
74,a-123,c,300
75,a-123,c,400
76,a-456,d,200
77,a-123,c,300
78,a-234,c,100
79,a-234,d,300
80,a-234,d,200
81,a-456,d,200
82,a-456,c,400
83,a-234,d,200
84,a-345,c,300
85,a-456,d,200
86,a-456,c,500
87,a-234,d,200
88,a-123,c,500
89,a-123,d,100
90,a-345,d,100
91,a-123,c,200
92,a-456,d,500
93,a-123,c,100
94,a-234,c,300
95,a-345,d,400
96,a-456,d,500
97,a-123,c,300
98,a-234,d,200
99,a-456,d,100
100,a-123,c,500
101,a-456,c,500
102,a-456,c,300
103,a-456,d,200
104,a-456,c,300
105,a-345,d,400
106,a-345,c,200
107,a-234,d,300
108,a-345,d,300
109,a-456,d,400
110,a-456,d,500
111,a-123,c,200
112,a-345,d,300
113,a-123,d,300
114,a-456,d,100
115,a-123,d,300
116,a-345,d,500
117,a-456,c,200
118,a-456,d,400
119,a-345,c,500
120,a-123,c,200
121,a-123,d,500
122,a-345,d,300
123,a-234,d,100
124,a-456,d,500
125,a-123,c,300
126,a-345,c,100
127,a-456,d,200
128,a-123,c,100
129,a-123,d,200
130,a-123,c,500
131,a-123,c,100
132,a-234,d,100
133,a-123,d,100
134,a-234,c,200
135,a-456,c,500
136,a-123,d,400
137,a-345,d,300
138,a-345,d,200
139,a-456,d,400
140,a-345,c,100
141,a-345,d,300
142,a-123,d,400
143,a-345,c,200
144,a-345,d,500
145,a-234,c,500
146,a-345,c,200
147,a-234,c,500
148,a-456,d,500
149,a-234,d,200
150,a-123,c,400
151,a-456,c,200
152,a-123,d,400
153,a-345,c,100
154,a-234,c,300
155,a-234,c,100
156,a-123,c,300
157,a-234,d,400
158,a-345,c,200
159,a-123,c,500
160,a-345,d,100
161,a-234,d,400
162,a-345,c,400
163,a-456,c,400
164,a-345,d,500
165,a-456,c,100
166,a-345,d,100
167,a-234,c,100
168,a-123,c,300
169,a-123,d,100
170,a-345,c,500
171,a-456,d,500
172,a-234,d,300
173,a-456,d,500
174,a-123,d,400
175,a-123,d,100
176,a-123,c,300
177,a-345,c,400
178,a-234,d,300
179,a-345,d,500
180,a-234,c,200
181,a-123,d,300
182,a-456,c,200
183,a-456,d,400
184,a-345,d,300
185,a-234,c,200
186,a-345,c,400
187,a-345,c,500
188,a-345,c,100
189,a-123,d,500
190,a-234,c,300
191,a-123,d,200
192,a-123,c,500
193,a-123,c,100
194,a-345,d,100
195,a-345,d,200
196,a-234,d,300
197,a-345,d,200
198,a-123,d,500
199,a-234,d,300
200,a-234,d,300
201,a-345,d,100
202,a-345,d,500
203,a-234,d,100
204,a-123,d,500
205,a-345,c,500
206,a-234,d,200
207,a-234,c,400
208,a-123,c,100
209,a-456,c,500
210,a-456,c,400
211,a-123,c,400
212,a-234,c,400
213,a-456,d,100
214,a-456,d,400
215,a-234,d,300
216,a-234,d,400
217,a-456,c,400
218,a-456,c,500
219,a-234,c,400
220,a-123,c,500
221,a-345,c,200
222,a-456,d,100
223,a-123,c,500
224,a-456,d,300
225,a-456,c,400
226,a-123,c,100
227,a-234,d,500
228,a-234,d,400
229,a-234,d,300
230,a-456,d,200
231,a-345,c,400
232,a-456,d,400
233,a-345,c,400
234,a-456,d,300
235,a-123,d,400
236,a-123,c,500
237,a-345,c,300
238,a-123,c,100
239,a-456,d,100
240,a-234,c,500
241,a-456,c,200
242,a-123,c,500
243,a-456,d,100
244,a-234,d,200
245,a-123,c,200
246,a-345,d,400
247,a-234,d,500
248,a-234,d,300
249,a-345,c,300
250,a-345,c,200
251,a-345,d,100
252,a-123,c,300
253,a-123,d,100
254,a-456,d,400
255,a-345,c,200
256,a-456,c,200
257,a-123,c,300
258,a-234,d,400
259,a-345,c,200
260,a-456,d,100
261,a-345,d,100
262,a-123,d,200
263,a-234,d,100
264,a-345,c,400
265,a-123,c,400
266,a-456,d,100
267,a-234,d,500
268,a-456,d,300
269,a-345,d,200
270,a-456,c,400
271,a-456,c,400
272,a-456,c,100
273,a-234,c,500
274,a-456,d,200
275,a-234,c,500
276,a-123,d,300
277,a-123,c,100
278,a-456,c,100
279,a-123,d,400
280,a-123,d,100
281,a-234,d,100
282,a-123,c,200
283,a-345,c,500
284,a-345,c,200
285,a-234,c,400
286,a-234,c,300
287,a-345,c,100
288,a-234,d,400
289,a-234,d,100
290,a-456,c,300
291,a-345,d,500
292,a-123,d,500
293,a-456,c,100
294,a-234,d,400
295,a-345,d,500
296,a-123,d,400
297,a-123,d,500
298,a-234,d,200
299,a-234,d,400
300,a-123,d,200
301,a-456,c,100
302,a-123,c,200
303,a-456,c,200
304,a-456,c,200
305,a-234,c,500
306,a-456,d,300
307,a-456,d,200
308,a-345,c,100
309,a-456,d,300
310,a-123,c,500
311,a-123,d,300
312,a-123,d,300
313,a-123,d,300
314,a-234,c,500
315,a-234,c,400
316,a-234,c,100
317,a-345,d,300
318,a-234,d,100
319,a-123,d,200
320,a-345,d,400
321,a-345,d,100
322,a-234,c,100
323,a-234,c,100
324,a-234,c,300
325,a-345,d,300
326,a-123,c,400
327,a-234,c,200
328,a-123,d,200
329,a-456,d,400
330,a-234,c,100
331,a-345,c,100
332,a-234,c,100
333,a-456,d,100
334,a-345,c,400
335,a-456,d,500
336,a-234,d,100
337,a-345,d,400
338,a-456,d,500
339,a-234,c,200
340,a-234,d,400
341,a-345,c,200
342,a-456,c,100
343,a-234,c,300
344,a-123,d,100
345,a-123,c,500
346,a-234,d,100
347,a-234,d,100
348,a-456,c,400
349,a-234,d,500
350,a-345,c,500
351,a-345,d,500
352,a-456,d,200
353,a-123,c,100
354,a-234,c,500
355,a-345,c,100
356,a-456,c,300
357,a-234,c,200
358,a-123,c,100
359,a-456,d,300
360,a-345,c,100
361,a-234,c,200
362,a-345,c,100
363,a-123,c,300
364,a-234,c,100
365,a-345,c,400
366,a-456,d,400
367,a-234,d,400
368,a-345,d,100
369,a-456,d,300
370,a-123,d,300
371,a-234,c,200
372,a-345,c,100
373,a-345,d,100
374,a-456,d,300
375,a-345,c,500
376,a-456,c,100
377,a-345,c,400
378,a-234,c,200
379,a-345,d,400
380,a-345,c,500
381,a-456,d,300
382,a-234,d,500
383,a-345,c,100
384,a-234,d,300
385,a-234,c,100
386,a-123,d,300
387,a-123,c,400
388,a-345,d,500
389,a-456,d,200
390,a-456,d,300
391,a-345,c,300
392,a-123,d,400
393,a-345,c,400
394,a-345,c,100
395,a-456,d,100
396,a-234,d,500
397,a-456,c,100
398,a-123,c,100
399,a-234,c,500
400,a-123,c,200
401,a-234,c,400
402,a-234,d,300
403,a-345,d,100
404,a-345,c,200
405,a-234,d,200
406,a-123,d,500
407,a-234,d,300
408,a-345,d,400
409,a-456,c,400
410,a-234,c,500
411,a-123,d,300
412,a-123,c,100
413,a-123,c,200
414,a-456,d,100
415,a-456,c,400
416,a-234,c,100
417,a-123,d,100
418,a-345,c,200
419,a-123,c,400
420,a-345,c,400
421,a-456,c,200
422,a-345,d,100
423,a-456,c,200
424,a-123,d,300
425,a-123,d,500
426,a-123,d,100
427,a-345,c,100
428,a-123,c,100
429,a-345,d,400
430,a-456,c,500
431,a-123,c,500
432,a-234,d,500
433,a-456,d,400
434,a-345,d,400
435,a-123,d,200
436,a-123,c,400
437,a-123,c,200
438,a-345,c,200
439,a-345,c,400
440,a-456,d,500
441,a-456,c,100
442,a-234,c,200
443,a-456,d,100
444,a-456,d,200
445,a-234,c,100
446,a-456,c,500
447,a-234,c,300
448,a-123,d,500
449,a-123,d,500
450,a-345,c,400
451,a-345,c,100
452,a-456,c,100
453,a-456,d,200
454,a-345,d,100
455,a-456,d,200
456,a-123,d,400
457,a-234,d,200
458,a-123,d,300
459,a-123,d,500
460,a-345,d,500
461,a-345,c,500
462,a-123,d,500
